city_id,n,failed,any,pano,coverage_any,coverage_pano
accra,100,0,37,0,0.37,0.0
adelaide,100,0,57,0,0.57,0.0
ahmedabad,100,0,39,29,0.39,0.29
amman,100,0,55,0,0.55,0.0
auckland,100,0,72,45,0.72,0.45
bangkok,100,0,36,8,0.36,0.08
bengaluru,100,0,38,1,0.38,0.01
berlin,99,1,79,43,0.798,0.434
brisbane,100,0,43,10,0.43,0.1
buenos_aires,100,0,40,7,0.4,0.07
cape_town,100,0,46,0,0.46,0.0
chicago,100,0,41,8,0.41,0.08
colombo,100,0,21,0,0.21,0.0
dakar,100,0,31,0,0.31,0.0
delhi,100,0,16,2,0.16,0.02
dhaka,100,0,42,0,0.42,0.0
doha,100,0,55,1,0.55,0.01
dubai,100,0,54,8,0.54,0.08
houston,100,0,55,45,0.55,0.45
istanbul,100,0,56,27,0.56,0.27
jakarta,100,0,39,9,0.39,0.09
johannesburg,100,0,44,2,0.44,0.02
kolkata,100,0,8,0,0.08,0.0
kuala_lumpur,100,0,43,1,0.43,0.01
lagos,100,0,31,2,0.31,0.02
lima,100,0,43,12,0.43,0.12
london,100,0,34,4,0.34,0.04
los_angeles,100,0,44,2,0.44,0.02
lyon,100,0,41,5,0.41,0.05
medellin,100,0,68,10,0.68,0.1
melbourne,100,0,74,1,0.74,0.01
mexico_city,100,0,50,1,0.5,0.01
mumbai,100,0,28,5,0.28,0.05
muscat,100,0,64,1,0.64,0.01
nairobi,100,0,33,5,0.33,0.05
new_york,100,0,32,4,0.32,0.04
paris,100,0,65,22,0.65,0.22
perth,100,0,19,0,0.19,0.0
phoenix,100,0,52,5,0.52,0.05
rio_de_janeiro,100,0,52,0,0.52,0.0
rome,100,0,21,1,0.21,0.01
sao_paulo,100,0,57,3,0.57,0.03
seoul,100,0,7,1,0.07,0.01
singapore,100,0,62,8,0.62,0.08
sydney,100,0,46,11,0.46,0.11
tokyo,100,0,54,12,0.54,0.12
toronto,100,0,43,6,0.43,0.06
tunis,100,0,45,0,0.45,0.0
valparaiso,100,0,39,10,0.39,0.1
warsaw,100,0,50,4,0.5,0.04
